Sample_ID,Province,City,Date_Collected,Water_Source,Pollutant_Type,Pollutant_Level_mg_L,Safe_Limit_mg_L,Exceeds_Limit,pH_Level,Temperature_C,Turbidity_NTU,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,Treatment_Status,Agency_Responsible,Latitude,Longitude,Sampling_Depth_m,Comments
SMP100017,New Brunswick,Holmesside,2023-05-31,Coastal,Pesticides,6.74,21.36,False,7.48,19.9,79.81,1181.04,10.0,Untreated,EnviroCan,59.882916,-60.397189,7.66,Actually focus trial traditional interesting whose company.
SMP100018,Nova Scotia,Lesliehaven,2025-02-09,Lake,Nitrate,42.75,11.99,True,7.77,12.4,8.84,533.05,9.96,Partially Treated,WaterSafe Canada,45.219845,-95.663299,8.21,Government set modern defense a design should before.
SMP100019,British Columbia,Port Heathermouth,2023-01-03,Groundwater,Oil,29.91,27.69,True,6.3,9.9,2.53,1893.58,7.93,Untreated,HydroWatch,45.831169,-77.110901,4.87,Economic difference anything interest.
SMP100020,Ontario,Stevensonport,2023-01-14,Reservoir,Pathogens,10.62,12.41,False,5.01,18.8,27.24,502.14,8.87,Treated,HydroWatch,57.02007,-136.631528,9.81,Form company watch improve by.
SMP100021,Nova Scotia,West Sheila,2022-08-19,Groundwater,Nitrate,14.91,6.36,True,5.8,7.1,66.24,1736.4,7.43,Partially Treated,CleanH2O Org,55.209162,-87.780467,4.67,Fact more strategy begin floor really specific.
SMP100022,Manitoba,Port Ericborough,2022-10-15,Lake,Pathogens,43.79,13.5,True,6.77,4.7,51.99,1153.17,9.91,Untreated,WaterSafe Canada,47.729936,-107.625244,6.38,Marriage yard tough author study result over shoulder.
SMP100023,Prince Edward Island,Bullockfurt,2024-01-08,River,Pesticides,6.24,15.53,False,6.31,12.7,38.14,257.26,8.14,Partially Treated,CleanH2O Org,43.816053,-81.432347,7.85,Not give three when wonder economy.
SMP100024,Quebec,Graytown,2024-05-24,Reservoir,Mercury,40.67,17.73,True,5.36,24.3,26.37,1492.15,6.0,Treated,CleanH2O Org,55.564996,-111.217626,8.76,Account during suddenly senior even piece gun.
SMP100025,British Columbia,Carrollland,2023-03-22,Groundwater,Mercury,2.16,14.78,False,5.6,7.4,73.46,1814.37,9.78,Untreated,WaterSafe Canada,57.36481,-100.051204,0.43,My town become worker return.
SMP100026,Newfoundland and Labrador,West Sara,2024-04-17,River,Chlorine,49.35,20.46,True,8.85,4.6,15.94,96.87,13.02,Partially Treated,WaterSafe Canada,49.928801,-104.435178,5.2,Do reason by city cultural speak themselves society.
SMP100027,New Brunswick,West Luismouth,2022-07-21,Reservoir,Microplastics,15.33,13.83,True,6.17,27.6,28.16,162.67,13.22,Partially Treated,CleanH2O Org,55.619754,-73.281794,6.2,Family worker young if.
SMP100028,Alberta,Kevinstad,2024-08-13,Coastal,Microplastics,22.99,1.5,True,7.32,11.9,7.5,1110.15,13.77,Partially Treated,CleanH2O Org,48.044698,-128.599944,4.62,How ball morning skill window.
SMP100029,British Columbia,New Nicholas,2023-07-05,Coastal,Mercury,49.61,25.85,True,5.06,2.0,34.49,868.46,6.95,Partially Treated,HydroWatch,52.956454,-99.253614,1.34,Involve product us business.
SMP100030,Nova Scotia,Lake Alexander,2025-02-22,River,Mercury,47.86,27.12,True,6.64,3.8,56.11,1388.61,4.69,Partially Treated,CleanH2O Org,50.931889,-132.902988,7.64,Just be these.
SMP100031,Nova Scotia,Elizabethmouth,2024-05-10,Coastal,Microplastics,29.45,7.57,True,8.13,19.1,70.11,1966.46,7.73,Untreated,EnviroCan,59.831147,-60.281767,2.53,Economic debate writer.
SMP100032,Quebec,Mejiafort,2024-08-30,Groundwater,Phosphate,28.29,1.37,True,6.39,7.8,47.16,1265.82,10.46,Untreated,WaterSafe Canada,58.54409,-121.211764,8.07,Standard himself last everything specific matter.
SMP100033,Nova Scotia,Lake Jerometown,2024-09-15,River,Pesticides,31.28,28.47,True,5.93,11.8,3.68,1971.79,8.32,Partially Treated,HydroWatch,43.669901,-94.594853,7.12,Development senior answer do.
SMP100034,Nova Scotia,Ericstad,2024-12-28,Groundwater,Microplastics,31.03,1.26,True,7.09,24.0,83.32,385.23,2.67,Treated,WaterSafe Canada,48.416988,-63.830443,1.12,Beautiful offer close people least in lose.
SMP100035,Ontario,Suttonmouth,2023-10-25,Groundwater,Nitrate,2.32,15.95,False,5.65,11.8,29.08,803.71,12.56,Partially Treated,WaterSafe Canada,46.444443,-83.324674,0.33,Number book meeting guess.
SMP100036,Prince Edward Island,West Williamfort,2022-09-16,Reservoir,Oil,3.93,26.64,False,6.14,19.1,48.07,1425.92,12.61,Partially Treated,HydroWatch,55.108175,-110.077798,8.97,Ok side owner student western.
SMP100037,Quebec,Lopezside,2022-10-28,Lake,Pesticides,11.2,9.22,True,6.51,15.9,54.95,1023.39,10.9,Partially Treated,WaterSafe Canada,58.469285,-98.302017,6.71,Finish I often opportunity term health eat.
SMP100038,Nova Scotia,East Josephmouth,2024-04-09,Lake,Chlorine,25.17,8.13,True,8.59,23.8,52.84,1947.75,4.95,Partially Treated,EnviroCan,51.082363,-64.381421,3.17,Business magazine minute thank decide sign.
SMP100039,Nova Scotia,East Christianmouth,2022-10-17,Groundwater,Lead,26.27,27.72,False,8.99,26.9,97.41,1922.47,13.81,Partially Treated,CleanH2O Org,45.837742,-110.451126,7.25,World total list.
SMP100040,Prince Edward Island,Port Thomasland,2024-12-07,Lake,Oil,36.03,13.48,True,7.69,28.1,36.47,362.18,10.78,Partially Treated,CleanH2O Org,55.214442,-127.047708,4.84,Woman trial second maybe sign church behind section.
SMP100041,Ontario,Port Anthonyside,2022-10-28,Reservoir,Oil,31.27,15.23,True,5.04,21.7,7.29,1156.03,2.39,Untreated,EnviroCan,53.511895,-71.229937,2.85,Magazine forward high eat room hot.
SMP100042,British Columbia,New Sandra,2022-09-27,Reservoir,Microplastics,49.36,26.47,True,6.3,19.6,76.87,333.91,3.21,Untreated,WaterSafe Canada,59.351272,-88.612786,3.82,Condition leg certainly air newspaper billion.
SMP100043,Newfoundland and Labrador,East Lisa,2022-09-19,Reservoir,Phosphate,28.44,21.97,True,6.96,6.4,10.56,868.49,9.93,Partially Treated,EnviroCan,46.045653,-54.019078,4.73,Line charge including to raise.
SMP100044,New Brunswick,New Jennifer,2023-07-31,River,Microplastics,20.05,17.89,True,8.64,17.2,99.1,691.01,10.68,Treated,CleanH2O Org,52.516177,-107.065628,4.33,Relate interest nice recognize Congress ahead success head.
SMP100045,Ontario,Stewartfurt,2023-12-23,River,Oil,1.6,21.27,False,8.18,21.4,14.7,1880.31,12.53,Untreated,HydroWatch,54.699354,-102.378258,6.81,Occur defense sometimes president white thousand war blue.
SMP100046,Nova Scotia,Roberttown,2022-12-24,River,Oil,11.19,12.91,False,6.09,17.5,0.72,1423.22,10.61,Treated,HydroWatch,47.449762,-109.136839,7.65,Leave hotel left life.
SMP100047,New Brunswick,Colemanborough,2022-08-22,Coastal,Microplastics,28.3,11.61,True,6.15,1.2,64.03,978.27,9.71,Untreated,HydroWatch,57.302188,-94.529342,2.02,Laugh east prove same.
SMP100048,Alberta,New Colleenburgh,2022-06-13,Reservoir,Chlorine,35.27,19.35,True,6.56,29.4,30.81,906.06,4.45,Treated,HydroWatch,49.58038,-113.52115,8.42,What scientist strategy might collection total nothing development.
SMP100049,Manitoba,Tonyfort,2024-06-19,Groundwater,Oil,27.67,23.2,True,7.92,29.9,96.24,1249.14,2.35,Untreated,EnviroCan,50.476952,-134.096622,1.77,Never explain skill attack dream detail policy.
SMP100050,Nova Scotia,Katherinemouth,2024-03-28,Groundwater,Lead,32.43,21.64,True,8.17,11.0,9.77,1605.78,8.72,Untreated,EnviroCan,57.664218,-85.87524,3.93,Three perhaps friend place tax chair.
SMP100051,Saskatchewan,Amyberg,2022-10-19,Groundwater,Nitrate,49.42,28.12,True,8.56,23.9,22.18,527.44,3.41,Treated,CleanH2O Org,48.36627,-127.391619,9.37,Visit garden compare way ball note.
SMP100052,Saskatchewan,Perezborough,2024-12-13,Coastal,Lead,9.9,26.88,False,7.27,21.4,98.41,1658.44,13.39,Treated,HydroWatch,44.311683,-120.496148,0.61,Music physical star carry family table site go.
SMP100053,Prince Edward Island,North Patrick,2023-09-03,Reservoir,Mercury,16.44,5.38,True,7.38,13.0,63.28,1593.77,13.1,Treated,WaterSafe Canada,46.068356,-61.679858,0.58,While future explain race street.
SMP100054,Saskatchewan,Sandraton,2024-06-25,Groundwater,Oil,7.74,27.12,False,8.9,25.4,50.66,1953.56,6.56,Untreated,EnviroCan,52.34319,-122.122621,6.07,Fast network us check discussion culture.
SMP100055,Saskatchewan,Lisabury,2024-03-11,Coastal,Oil,16.49,18.86,False,5.56,2.0,65.33,479.7,7.46,Untreated,WaterSafe Canada,47.024608,-120.860069,6.86,Field ahead leader it concern day form modern.
SMP100056,Alberta,New Matthewfort,2023-03-22,Reservoir,Lead,35.51,10.75,True,8.41,29.3,95.18,1506.15,4.98,Treated,EnviroCan,51.148358,-117.009913,8.95,Matter affect provide example hit tonight prove.
SMP100057,British Columbia,West Jacksonburgh,2023-07-16,Lake,Pesticides,40.06,11.03,True,5.86,26.8,55.03,1201.54,10.49,Partially Treated,CleanH2O Org,56.00613,-83.789451,0.41,Drop class response.
SMP100058,Ontario,South Dianaville,2022-08-04,Groundwater,Pesticides,35.21,2.28,True,7.64,17.8,76.88,784.36,3.15,Treated,WaterSafe Canada,44.410104,-107.193075,0.87,Describe accept peace.
SMP100059,British Columbia,West Andrew,2023-03-24,Lake,Lead,18.95,12.11,True,7.53,23.0,98.46,1104.04,3.26,Partially Treated,HydroWatch,51.439057,-82.388768,4.92,Scene get letter.
SMP100060,Prince Edward Island,South Jennifer,2024-02-28,River,Chlorine,34.22,23.8,True,7.95,27.5,26.77,1729.26,9.3,Partially Treated,WaterSafe Canada,57.045884,-125.003411,6.46,South full student make indicate nation remain.
SMP100061,Quebec,North Christine,2023-05-18,River,Microplastics,0.84,15.82,False,8.63,13.2,87.64,1418.41,9.82,Treated,CleanH2O Org,48.297626,-96.032054,1.78,Require cover painting let.
SMP100062,Manitoba,Albertland,2025-01-12,Coastal,Chlorine,48.9,18.25,True,6.97,19.3,41.32,863.05,11.76,Partially Treated,WaterSafe Canada,47.626969,-137.289389,3.53,Old way husband training gun various even.
SMP100063,New Brunswick,East Joycetown,2022-11-18,Reservoir,Microplastics,45.33,1.0,True,8.82,10.0,86.06,1831.91,12.68,Partially Treated,HydroWatch,45.609119,-100.059845,3.79,Goal resource worker spend partner customer produce.
SMP100064,Manitoba,Meganmouth,2024-01-04,Lake,Pathogens,15.88,14.7,True,6.92,5.8,61.48,904.0,4.37,Treated,EnviroCan,55.478409,-99.100909,1.38,Run direction however.
SMP100065,Saskatchewan,Toddfurt,2025-02-11,Groundwater,Microplastics,0.34,21.47,False,8.94,8.9,89.6,1724.25,12.43,Treated,EnviroCan,43.594839,-102.883129,7.96,All almost develop model western.
SMP100066,Manitoba,Jermaineborough,2023-09-10,River,Mercury,22.67,4.81,True,8.1,11.6,28.37,1465.41,4.54,Untreated,CleanH2O Org,58.520062,-64.353939,9.19,Apply offer positive wind interview floor reason.
SMP100067,Saskatchewan,Cindytown,2022-11-11,Coastal,Oil,23.3,14.69,True,5.37,24.5,86.21,706.79,2.36,Partially Treated,WaterSafe Canada,56.691336,-107.954783,1.91,Cut west prepare accept.
SMP100068,Prince Edward Island,Port Johnnyton,2023-06-11,Reservoir,Pesticides,48.13,18.14,True,6.04,29.3,92.29,1469.56,10.07,Treated,HydroWatch,59.612488,-76.462907,2.33,Admit care same month paper lose.
SMP100069,Ontario,West Heatherstad,2022-07-17,Lake,Chlorine,31.22,7.2,True,6.93,28.9,46.21,318.61,13.16,Partially Treated,HydroWatch,59.67598,-110.203995,7.36,Seven require benefit reason wind prevent.
SMP100070,Alberta,New Wendy,2024-05-06,Reservoir,Oil,13.34,7.64,True,5.3,20.5,30.61,192.06,7.48,Partially Treated,EnviroCan,59.481109,-93.344792,6.74,Think place large.
SMP100071,Saskatchewan,West Nicholas,2023-05-06,Lake,Chlorine,16.86,26.54,False,7.86,12.1,92.51,324.03,11.32,Treated,WaterSafe Canada,58.143297,-55.764377,2.92,Upon product sure without and.
SMP100072,Nova Scotia,Rowlandhaven,2023-11-12,Coastal,Phosphate,27.3,24.19,True,5.4,2.3,77.98,339.7,2.48,Untreated,EnviroCan,55.230487,-129.810946,4.8,Trip establish different fight.
SMP100073,British Columbia,Lake Markshire,2023-10-18,Reservoir,Phosphate,13.32,21.57,False,6.62,5.1,12.47,326.11,9.4,Treated,EnviroCan,58.262498,-122.259181,2.35,Discussion moment property trial.
SMP100074,Prince Edward Island,Jesseburgh,2024-06-06,Coastal,Nitrate,20.47,0.82,True,5.47,7.8,55.93,1392.7,7.41,Treated,CleanH2O Org,48.223414,-101.04379,4.1,Education address for.
SMP100075,Manitoba,North Rachel,2022-12-18,Lake,Lead,48.58,13.93,True,6.23,15.8,29.19,88.91,4.36,Untreated,CleanH2O Org,53.551162,-133.528223,0.16,Production language happy water.
SMP100076,Newfoundland and Labrador,Ryanland,2024-06-07,Reservoir,Nitrate,49.39,23.35,True,6.42,10.9,0.64,1805.13,3.03,Treated,CleanH2O Org,44.396965,-99.282903,3.8,Cause call table here.
SMP100077,Manitoba,Lake Christina,2022-09-30,Coastal,Microplastics,37.77,3.65,True,8.16,21.3,48.51,852.43,4.16,Untreated,CleanH2O Org,54.023395,-83.105227,5.16,Pattern detail side goal indicate say song probably.
SMP100078,Quebec,East Natashaburgh,2024-02-05,Reservoir,Phosphate,3.22,10.29,False,8.58,10.8,51.04,1102.16,3.84,Treated,CleanH2O Org,43.155933,-52.49323,4.97,Project too do western garden miss manager.
SMP100079,Prince Edward Island,Lake Stacieville,2023-05-11,Groundwater,Lead,38.2,25.6,True,8.22,26.4,71.34,1598.92,10.27,Untreated,EnviroCan,57.266226,-73.791827,1.99,Whole memory likely only across against factor.
SMP100080,Alberta,Nguyenberg,2023-06-23,Reservoir,Mercury,11.8,13.21,False,6.51,25.1,95.0,869.63,11.08,Treated,CleanH2O Org,57.828791,-57.783429,8.71,Drop already fall impact institution.
SMP100081,New Brunswick,North Brooke,2023-03-21,Coastal,Microplastics,29.07,24.23,True,5.88,4.1,16.69,1742.8,5.4,Treated,EnviroCan,55.791198,-82.487071,3.54,Walk bank early agency control total serve.
SMP100082,Nova Scotia,Brookestad,2023-03-03,Coastal,Microplastics,48.56,7.13,True,6.46,19.7,28.67,410.35,7.82,Partially Treated,EnviroCan,52.786009,-95.594174,0.86,Focus happy reduce painting amount.
SMP100083,Saskatchewan,Hardyport,2024-03-14,Coastal,Nitrate,23.59,23.68,False,5.18,27.3,93.98,1576.28,11.06,Partially Treated,HydroWatch,49.514539,-61.755267,3.62,Growth eye Democrat keep unit speak.
SMP100084,Quebec,New Eric,2022-11-12,Reservoir,Chlorine,18.11,17.0,True,7.83,20.1,56.34,1125.45,7.58,Partially Treated,HydroWatch,47.95228,-55.770303,6.39,Drive case enough become role relationship become.
SMP100085,British Columbia,Lake Melissaside,2022-11-22,River,Pesticides,18.79,9.2,True,7.08,1.1,75.91,1725.81,8.11,Untreated,EnviroCan,52.269422,-82.493222,0.31,Color sort expert film century.
SMP100086,Manitoba,Sandrahaven,2024-10-09,Reservoir,Nitrate,46.47,0.7,True,8.19,10.3,41.05,1036.55,9.02,Treated,CleanH2O Org,45.455548,-59.126319,8.82,Culture tell position article her maintain arrive attention.
SMP100087,Ontario,North Tara,2022-08-24,Lake,Chlorine,36.79,5.01,True,6.53,29.5,44.4,67.17,3.05,Partially Treated,EnviroCan,54.050327,-72.552437,2.57,According have together operation particularly its which.
SMP100088,Manitoba,East Kimberly,2022-11-19,Coastal,Phosphate,20.3,16.94,True,6.74,14.8,64.84,169.83,8.61,Treated,HydroWatch,43.027229,-82.33072,7.32,Tonight spend news subject.
SMP100089,Nova Scotia,Port Sierra,2022-08-21,Reservoir,Nitrate,14.61,25.57,False,8.0,17.8,46.38,1567.48,11.71,Treated,EnviroCan,45.554085,-80.048103,6.57,Record color meeting reduce reflect movie research.
SMP100090,Quebec,West Thomaschester,2024-09-19,River,Pesticides,21.4,2.64,True,5.66,8.9,34.12,1925.86,12.64,Untreated,EnviroCan,52.245167,-126.184856,9.81,Available your there pressure firm hope give.
SMP100091,Manitoba,Shawburgh,2024-04-29,River,Pathogens,6.78,6.45,True,8.79,23.4,72.47,134.8,7.93,Treated,HydroWatch,59.116936,-61.420022,3.99,Age until measure allow accept necessary explain.
SMP100092,Prince Edward Island,Kimshire,2024-09-15,Groundwater,Pathogens,13.96,19.12,False,5.79,2.2,54.13,130.85,8.79,Partially Treated,CleanH2O Org,49.250492,-60.104153,1.19,Stay if anything claim tend.
SMP100093,New Brunswick,Port Cynthia,2022-10-25,Reservoir,Microplastics,4.56,21.65,False,7.55,2.1,93.9,1168.59,3.38,Untreated,EnviroCan,49.625538,-89.536962,6.19,Ready concern wish always all Congress.
SMP100094,Quebec,Joyceside,2024-08-23,Coastal,Pesticides,2.02,28.35,False,5.74,9.6,25.07,1267.56,9.48,Untreated,HydroWatch,53.81584,-63.674296,5.95,Hair blue inside body sport environment always.
SMP100095,Alberta,North Jonathantown,2024-02-12,River,Chlorine,5.01,29.28,False,6.48,3.4,21.96,208.08,12.55,Untreated,HydroWatch,46.096991,-89.05148,8.1,Walk summer already outside create send.
SMP100096,British Columbia,Meganton,2023-01-14,Groundwater,Lead,10.88,11.58,False,8.65,16.4,34.6,128.36,7.51,Untreated,CleanH2O Org,46.276748,-65.978227,6.12,Serious radio executive give.
SMP100097,Quebec,Lake Matthew,2024-12-19,Reservoir,Chlorine,34.72,13.39,True,7.1,23.8,7.02,1801.63,2.36,Untreated,CleanH2O Org,43.715438,-109.614029,7.91,Music media cold fill.
SMP100098,Quebec,Shirleyfort,2024-02-22,Lake,Microplastics,18.98,26.08,False,8.01,17.7,56.01,99.8,11.73,Treated,WaterSafe Canada,53.899778,-133.669224,6.98,Either these mind move hundred message.
SMP100099,Ontario,Bassland,2024-05-11,Reservoir,Phosphate,17.22,20.55,False,8.96,24.5,8.35,271.38,2.14,Treated,EnviroCan,46.064453,-80.226111,2.99,Television moment exactly job air newspaper religious.
SMP100100,Newfoundland and Labrador,Phillipview,2022-12-18,River,Pathogens,5.29,4.7,True,7.78,10.3,32.69,271.69,9.7,Treated,EnviroCan,52.979771,-95.665649,4.69,Letter seem stand religious necessary dog.
SMP100101,Alberta,Washingtonfurt,2024-03-25,Coastal,Nitrate,46.72,19.89,True,8.5,21.3,47.19,377.82,5.08,Untreated,WaterSafe Canada,55.391265,-121.411251,2.21,Religious fast at day.
SMP100102,Saskatchewan,Port Elijah,2024-02-10,River,Chlorine,7.03,3.34,True,7.79,16.1,90.67,451.4,2.56,Untreated,EnviroCan,50.927707,-53.037334,3.62,Training character agreement memory under.
SMP100103,Manitoba,North Michael,2024-05-19,Lake,Nitrate,26.95,1.61,True,8.4,3.0,88.83,189.99,9.85,Partially Treated,WaterSafe Canada,44.985376,-95.555035,4.13,Two message believe box.
SMP100104,Manitoba,Walkerchester,2022-10-18,River,Microplastics,7.65,15.07,False,7.71,10.4,4.95,752.85,10.17,Treated,WaterSafe Canada,43.604366,-54.331919,3.34,Wrong edge management her society around member.
SMP100105,New Brunswick,Quinnfurt,2024-03-27,Groundwater,Lead,14.23,28.94,False,5.24,11.5,73.3,1907.39,11.52,Partially Treated,WaterSafe Canada,47.0396,-114.777539,7.99,Able upon modern.
SMP100106,Newfoundland and Labrador,Tammieport,2024-01-16,Lake,Pesticides,29.41,8.99,True,5.89,24.5,65.18,1069.52,11.62,Untreated,CleanH2O Org,58.361719,-72.359256,6.57,Everybody challenge thank simply.
SMP100107,Nova Scotia,Hernandezhaven,2023-12-07,Reservoir,Pesticides,34.5,25.35,True,5.1,15.7,11.18,1085.16,12.09,Untreated,HydroWatch,59.102264,-119.183203,4.49,Far camera several pretty around threat stock.
SMP100108,Manitoba,Salazarside,2022-09-19,Reservoir,Phosphate,23.81,8.29,True,8.57,19.2,7.75,362.34,5.29,Treated,CleanH2O Org,52.226599,-103.389139,5.99,Or could positive address stuff.
SMP100109,Quebec,Evansshire,2024-11-13,Coastal,Nitrate,36.99,16.36,True,8.79,8.9,11.8,1929.98,10.29,Partially Treated,WaterSafe Canada,49.29178,-127.608653,1.38,Town response keep.
SMP100110,Nova Scotia,Devinside,2024-06-14,River,Pesticides,14.46,19.84,False,6.81,27.1,4.28,433.13,9.26,Treated,EnviroCan,43.477441,-107.056208,5.27,Economic blue Congress to travel beat step.
SMP100111,Saskatchewan,Petermouth,2024-01-15,River,Mercury,47.69,8.37,True,6.05,7.8,26.17,808.31,12.26,Treated,WaterSafe Canada,50.338471,-104.709819,6.92,Artist second finish buy dog.
SMP100112,Ontario,Coryside,2022-09-05,Groundwater,Oil,2.66,16.01,False,5.43,21.5,19.16,1389.0,7.18,Treated,WaterSafe Canada,54.56175,-88.957714,5.46,Good politics always trip college five gun.
SMP100113,Newfoundland and Labrador,Jenniferstad,2024-12-07,Coastal,Lead,37.55,10.92,True,5.63,24.5,20.11,1782.36,6.55,Treated,WaterSafe Canada,54.884617,-98.494775,7.08,Some leave when city.
SMP100114,Manitoba,North Laura,2022-08-27,Groundwater,Nitrate,22.19,1.21,True,8.28,12.1,29.27,247.9,10.49,Partially Treated,EnviroCan,47.828891,-129.354957,8.07,Pressure site can kid probably.
SMP100115,Saskatchewan,West Williambury,2022-10-30,Coastal,Pesticides,31.33,29.86,True,5.0,30.0,26.6,1729.89,6.68,Partially Treated,HydroWatch,43.78945,-97.620682,9.64,North international president.
SMP100116,British Columbia,Lake Lisa,2024-09-17,Lake,Phosphate,17.25,5.48,True,8.57,28.1,83.35,1403.64,13.78,Treated,EnviroCan,53.06942,-115.445604,9.36,Politics at city economic thing.
SMP100117,New Brunswick,Lewisbury,2023-09-02,River,Pesticides,47.64,16.25,True,5.19,16.1,52.32,1340.51,3.3,Untreated,EnviroCan,46.017439,-87.068999,7.73,Reality career perhaps simply food performance evidence.
SMP100118,Saskatchewan,New Morgan,2024-07-24,Lake,Pathogens,28.46,27.46,True,7.67,10.9,52.58,260.91,5.14,Treated,HydroWatch,48.21678,-138.20534,3.01,Wall skill drop any today start production.
SMP100119,Ontario,Lindseytown,2022-11-19,Coastal,Lead,45.69,29.56,True,8.12,24.7,40.66,1562.21,6.93,Treated,WaterSafe Canada,50.817788,-127.169684,4.87,High former why inside if ask.
SMP100120,Alberta,West Joanna,2023-10-16,Coastal,Pathogens,1.76,2.1,False,6.99,10.3,99.27,1354.73,11.01,Untreated,EnviroCan,49.114679,-134.365801,4.57,Campaign get take mind each.
SMP100121,New Brunswick,Lake Karenport,2024-09-16,Groundwater,Phosphate,14.25,11.31,True,8.22,18.7,82.85,1148.56,6.03,Untreated,CleanH2O Org,50.119917,-119.206443,6.98,Above actually almost.
SMP100122,Nova Scotia,West Oliviaburgh,2024-07-09,Groundwater,Pesticides,27.93,14.41,True,6.1,22.6,17.82,535.1,2.18,Untreated,HydroWatch,52.987592,-105.505874,0.83,Child box unit occur bit.
SMP100123,British Columbia,Lisahaven,2023-11-26,Lake,Phosphate,16.09,3.34,True,5.18,6.2,15.27,465.1,13.46,Treated,WaterSafe Canada,56.777105,-69.508125,6.08,Piece charge old land service.
SMP100124,British Columbia,Port Kevin,2022-09-30,Coastal,Nitrate,45.43,10.51,True,6.41,24.6,74.92,1175.88,8.33,Treated,EnviroCan,46.941473,-54.475969,4.44,Always officer fly first soon marriage.
SMP100125,Alberta,Davidstad,2023-03-11,Coastal,Chlorine,27.3,1.24,True,8.86,23.9,83.39,406.96,3.57,Untreated,WaterSafe Canada,45.203864,-80.742903,6.86,Research listen bring risk.
